利用日,利用店名・商品名,利用者,支払方法,利用金額,支払手数料,支払総額,1月支払金額,2月繰越残高,新規サイン,支払月
2024/4/12,大東建託パートナーズ,家族,1回払い,14134,0,14134,14134,0,*,2024年5月
2024/4/12,大東建託パートナーズ,家族,1回払い,90753,0,90753,90753,0,*,2024年5月
2024/4/11,ﾓｸﾞﾓ,家族,1回払い,5630,0,5630,5630,0,*,2024年5月
2024/4/8,ﾀﾞｲｿ-,家族,1回払い,1540,0,1540,1540,0,*,2024年5月
2024/4/7,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,1197,0,1197,1197,0,*,2024年5月
2024/4/7,マツキヨキーノ和歌山店,家族,1回払い,373,0,373,373,0,*,2024年5月
2024/4/7,ﾕﾆｸﾛ ｷﾉｶﾜﾃﾝ,家族,1回払い,18720,0,18720,18720,0,*,2024年5月
2024/4/6,ｶﾘﾇｳ ｸﾛ-ｼﾞﾝｸﾞ,家族,1回払い,6540,0,6540,6540,0,*,2024年5月
2024/4/4,楽天ブロードバンド,本人,1回払い,4241,0,4241,4241,0,*,2024年5月
2024/4/1,ｱﾏｿﾞﾝ,本人,1回払い,495,0,495,495,0,*,2024年5月
2024/3/24,ＥＴＣカード売上,ETC,1回払い,200,0,200,200,0,*,2024年5月
,ﾜｶﾔﾏｷﾀ     ｲﾜﾃﾞﾈｺﾞﾛﾎ,,,,,,,,,2024年5月
2024/3/24,ＥＴＣカード売上,ETC,1回払い,200,0,200,200,0,*,2024年5月
,ｲﾜﾃﾞﾈｺﾞﾛﾎﾝ ﾜｶﾔﾏｷﾀ,,,,,,,,,2024年5月
2024/3/20,ＥＴＣカード売上,ETC,1回払い,590,0,590,590,0,*,2024年5月
,ｶﾝｸｳﾚﾝﾗｸｷﾖ ｶﾝｸｳﾚﾝﾗｸｷ,,,,,,,,,2024年5月
2024/3/20,ＥＴＣカード売上,ETC,1回払い,100,0,100,100,0,*,2024年5月
,ｶﾝｸｳｷﾖｳｾﾞｲ ｶﾝｸｳｷﾖｳｾﾞ,,,,,,,,,2024年5月
2024/5/30,ﾜｶﾔﾏｹﾝﾘﾂｲｶﾀﾞｲｶﾞｸ,家族,1回払い,220,0,220,220,0,*,2024年6月
2024/5/29,マツキヨキーノ和歌山店,家族,1回払い,3795,0,3795,3795,0,*,2024年6月
2024/5/29,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,4183,0,4183,4183,0,*,2024年6月
2024/5/29,ｱﾏｿﾞﾝ ﾏ-ｹﾂﾄ ﾌﾟﾚｲ,家族,1回払い,4400,0,4400,4400,0,*,2024年6月
2024/5/26,SHEIN.COM利用国SGP,家族,1回払い,3293,0,3293,3293,0,*,2024年6月
,現地利用額　　　　　　３２９３．０００変換レート　　　１．０００円,,,,,,,,,2024年6月
2024/5/21,NINTENDO CD120907225利用国JPN,本人,1回払い,306,0,306,306,0,*,2024年6月
,現地利用額　　　　　　　３０６．０００変換レート　　　１．０００円,,,,,,,,,2024年6月
2024/5/18,ソムリエ＠ギフト,家族,1回払い,6100,0,6100,6100,0,*,2024年6月
2024/5/18,大阪ガス　　料金,本人,1回払い,6566,0,6566,6566,0,*,2024年6月
2024/5/15,ﾏﾂｹﾞﾝ ﾓﾄﾃﾞﾗ,家族,1回払い,983,0,983,983,0,*,2024年6月
2024/5/12,大東建託パートナーズ,家族,1回払い,10973,0,10973,10973,0,*,2024年6月
2024/5/12,大東建託パートナーズ,家族,1回払い,90753,0,90753,90753,0,*,2024年6月
2024/5/9,楽天ブロードバンド,本人,1回払い,4241,0,4241,4241,0,*,2024年6月
2024/5/8,ｷﾞﾖｳﾑｽ-ﾊﾟ- ｽｽﾞﾏﾙ,家族,1回払い,1375,0,1375,1375,0,*,2024年6月
2024/5/4,ｱﾏｿﾞﾝ ﾏ-ｹﾂﾄ ﾌﾟﾚｲ,本人,1回払い,1399,0,1399,1399,0,*,2024年6月
2024/5/3,ｱﾂﾌﾟﾙﾄﾞﾂﾄｺﾑ,本人,1回払い,1680,0,1680,1680,0,*,2024年6月
2024/5/1,ｾﾘｱ ｼﾃｲﾜｶﾔﾏﾃﾝ,家族,1回払い,330,0,330,330,0,*,2024年6月
2024/5/1,ｻﾝﾄﾞﾗﾂｸﾞ,家族,1回払い,2264,0,2264,2264,0,*,2024年6月
2024/4/28,ＥＴＣカード売上,ETC,1回払い,1270,0,1270,1270,0,*,2024年6月
,ｶﾜﾍﾞ       ﾜｶﾔﾏ,,,,,,,,,2024年6月
2024/4/27,ＥＴＣカード売上,ETC,1回払い,1270,0,1270,1270,0,*,2024年6月
,ﾜｶﾔﾏ       ｶﾜﾍﾞ,,,,,,,,,2024年6月
